SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1901 Post Oak Blvd #3117,Houston,TX,77056,229000,0.0,1.0,Lofts/post Oak,751.0,,2003.0,9,305.0,470.0,Active,,,https://www.redfin.com/TX/Houston/1901-Post-Oak-Blvd-77056/unit-3117/home/29403652,HARMLS,43618904,N,Y,29.7468536,-95.4591882
MLS Listing,,Single Family Residential,5607 Meadow Lake Ln,Houston,TX,77056,1299900,4.0,4.5,Briarcroft,3579.0,15933.0,1953.0,10,363.0,67.0,Active,,,https://www.redfin.com/TX/Houston/5607-Meadow-Lake-Ln-77056/home/30050240,HARMLS,41236902,N,Y,29.7433523,-95.4746477
MLS Listing,,Townhouse,173 Sage Rd,Houston,TX,77056,750000,3.0,3.0,One Sage Road R/p,2398.0,2700.0,1971.0,10,313.0,208.0,Active,,,https://www.redfin.com/TX/Houston/173-Sage-Rd-77056/home/30248486,HARMLS,61072561,N,Y,29.7679106,-95.4674805
MLS Listing,,Condo/Co-op,5150 Hidalgo St #1203,Houston,TX,77056,265000,2.0,2.0,Oxford Condo 04 Amd,1370.0,,1981.0,11,193.0,1083.0,Active,,,https://www.redfin.com/TX/Houston/5150-Hidalgo-St-77056/unit-1203/home/30523748,HARMLS,54693715,N,Y,29.7357381,-95.4652097
MLS Listing,,Condo/Co-op,1901 Post Oak Blvd #3607,Houston,TX,77056,338500,2.0,2.0,The Lofts On Post Oak Condomin,1231.0,,2003.0,11,275.0,609.0,Active,,,https://www.redfin.com/TX/Houston/1901-Post-Oak-Blvd-77056/unit-3607/home/29403749,HARMLS,87853033,N,Y,29.7468536,-95.4591882
MLS Listing,,Townhouse,4702 Post Oak Timber Dr,Houston,TX,77056,400000,3.0,3.0,Post Oak Landing T/h,1810.0,1694.0,1976.0,11,221.0,300.0,Active,,,https://www.redfin.com/TX/Houston/4702-Post-Oak-Timber-Dr-77056/home/30517595,HARMLS,5805266,N,Y,29.7592134,-95.4588503
MLS Listing,,Single Family Residential,5321 Pagewood Ln,Houston,TX,77056,529985,3.0,2.0,Larchmont Sec 01,1420.0,7420.0,1954.0,12,373.0,,Active,,,https://www.redfin.com/TX/Houston/5321-Pagewood-Ln-77056/home/30095167,HARMLS,98130232,N,Y,29.727438,-95.4695487
MLS Listing,,Condo/Co-op,5050 Ambassador Way #205,Houston,TX,77056,181000,1.0,1.0,Ambassador At Post Oak Sec 01,876.0,66200.0,1967.0,12,207.0,766.0,Active,,,https://www.redfin.com/TX/Houston/5050-Ambassador-Way-77056/unit-205/home/30210154,HARMLS,79302987,N,Y,29.7470277,-95.4636262
MLS Listing,,Vacant Land,2219 Stoney Point St,Houston,TX,77056,999900,,,Del Monte Sec 02,,11480.0,,12,,42.0,Active,,,https://www.redfin.com/TX/Houston/2219-Stoney-Point-St-77056/home/30059402,HARMLS,95233507,N,Y,29.7424961,-95.4697125
MLS Listing,,Condo/Co-op,5150 Hidalgo St #405,Houston,TX,77056,275000,2.0,2.0,Oxford Condo 04 Amd,1449.0,,1981.0,17,190.0,1100.0,Active,,,https://www.redfin.com/TX/Houston/5150-Hidalgo-St-77056/unit-405/home/30523540,HARMLS,88827015,N,Y,29.7357381,-95.4652097
MLS Listing,,Condo/Co-op,5050 Ambassador Way #318,Houston,TX,77056,160000,1.0,1.0,Ambassador At Post Oak Sec 01,876.0,66200.0,1967.0,17,183.0,766.0,Active,,,https://www.redfin.com/TX/Houston/5050-Ambassador-Way-77056/unit-318/home/30210168,HARMLS,97277135,N,Y,29.7470277,-95.4636262
MLS Listing,,Condo/Co-op,1600 Post Oak #1104,Houston,TX,77056,695000,2.0,2.0,Cosmopolitan Condos,1779.0,,2006.0,17,391.0,1255.0,Active,,,https://www.redfin.com/TX/Houston/1600-Post-Oak-Blvd-77056/unit-1104/home/29544340,HARMLS,77001145,N,Y,29.7515129,-95.4613592
MLS Listing,,Condo/Co-op,5656 San Felipe St #1601,Houston,TX,77056,3845000,3.0,3.5,Tanglewood/memorial,3067.0,,2023.0,18,1254.0,3085.0,Active,,,https://www.redfin.com/TX/Houston/5656-San-Felipe-St-77056/unit-1601/home/180604676,HARMLS,52626602,N,Y,29.7503996,-95.4762758
